Gumising,O
ang,O
bata,O
.,O

Ginising,O
ng,O
ingay,O
ang,O
bata,O
.,O

Sinulat,O
ko,O
ang,O
liham,O
.,O

Sinulatan,O
ko,O
ang,O
titser,O
.,O

Dumarating,O
na,O
ang,O
bus,O
.,O

Artista,O
ang,O
babae,O
.,O

Maganda,O
ang,O
babae,O
.,O

Yumaman,O
ang,O
babae,O
.,O

Artista,O
ang,O
yumaman,O
.,O

Artista,O
ang,O
nagluto,O
ng,O
pagkain,O
.,O

Siya,O
ang,O
Amerikano,B-PER
.,O

Iyan,O
ang,O
bahay,O
.,O

Si,O
Juan,B-PER
ang,O
bunso,O
.,O

Isda,O
ang,O
bakalaw,O
.,O

Isda,O
ang,O
pagkain,O
niya,O
.,O

Isda,O
ang,O
paborito,O
niya,O
.,O

Bato,O
ang,O
bahay,O
.,O

Bago,O
ang,O
bahay,O
.,O

Bagong,B-MWE
-,I
bago,I
ang,O
bahay,O
.,O

Mabuti,O
ang,O
panahon,O
.,O

Matamis,O
ang,O
kendi,O
.,O

Pagod,O
ang,O
bata,O
.,O

Nasa,O
kusina,O
ang,O
mesa,O
.,O

Para,O
sa,O
bata,O
ang,O
laruan,O
.,O

Tungkol,O
sa,O
giyera,O
ang,O
kuwento,O
.,O

May,O
gulayan,O
ang,O
babae,O
.,O

Kailangan,O
ko,O
ang,O
kuwalta,O
.,O

Sa,O
istudyante,O
ang,O
libro,O
.,O

Nagluto,O
ng,O
pagkain,O
ang,O
nanay,O
.,O

Nagluto,O
na,O
ng,O
pagkain,O
ang,O
nanay,O
.,O

Nagluto,O
na,O
ng,O
pagkain,O
ang,O
nanay,O
noong,O
dumating,O
ako,O
.,O

Nagluluto,O
ng,O
pagkain,O
ang,O
nanay,O
araw,B-MWE
-,I
araw,I
.,O

Nagluluto,O
na,O
ng,O
pagkain,O
ang,O
nanay,O
.,O

Nagluluto,O
ng,O
pagkain,O
ang,O
nanay,O
noong,O
dumating,O
ako,O
.,O

Magluluto,O
ng,O
pagkain,O
ang,O
nanay,O
bukas,O
.,O

Hindi,B-MWE
pa,I
nagluluto,O
ng,O
pagkain,O
ang,O
nanay,O
.,O

Bumabasa,O
ng,O
diyaryo,O
ang,O
titser,O
.,O

Binabasa,O
ng,O
titser,O
ang,O
diyaryo,O
.,O

Naghihilik,O
ang,O
lolo,O
.,O

Humihinga,O
pa,O
ang,O
pasyente,O
.,O

Nauuhaw,O
ang,O
sanggol,O
.,O

Tumatanda,O
ang,O
aso,O
.,O

Ibinigay,O
ng,O
titser,O
sa,O
istudyante,O
ang,O
premyo,O
.,O

Binigyan,O
ng,O
titser,O
ng,O
premyo,O
ang,O
istudyante,O
.,O

Binili,O
ng,O
mangingisda,O
ang,O
bangka,O
.,O

Sinalpok,O
ng,O
alon,O
ang,O
bangka,O
.,O

Bumili,O
ng,O
bangka,O
ang,O
mangingisda,O
.,O

Sumalpok,O
sa,O
bangka,O
ang,O
alon,O
.,O

Binalikan,O
niya,O
ang,O
Maynila,B-LOC
.,O

Tinakasan,O
niya,O
ang,O
bilangguan,O
.,O

Mansanas,O
ito,O
.,O

Biyudo,O
ang,O
maestro,O
.,O

Biyuda,O
ang,O
maestra,O
.,O

Komika,O
si,O
Linda,B-PER
.,O

Nakita,B-MWE
kita,I
.,O

Kinain,O
ang,O
pagkain,O
.,O

Mga,B-MWE
guro,I
sila,O
.,O

Malapit,O
sa,O
babae,O
ang,O
bata,O
.,O

Malapit,O
kay,O
Maria,B-PER
si,O
Juan,B-PER
.,O

Malapit,O
sa,O
Maynila,B-LOC
ang,O
Pasay,B-LOC
City,I
.,O

Pinanood,O
ko,O
ang,O
mga,B-MWE
sumasayaw,I
.,O

Sumasayaw,O
ang,O
mga,B-MWE
tao,I
.,O

Nagtatrabaho,O
ang,O
lalaki,O
.,O

Lalaki,O
ang,O
nagtatrabaho,O
.,O

Hindi,B-MWE
ko,I
siya,O
nakita,O
.,O

Hindi,O
nakita,O
ni,O
Pedro,B-PER
si,O
Juan,B-PER
.,O

Inahit,O
ni,O
John,B-PER
ang,O
sarili,O
niya,O
.,O

Inahit,O
ni,O
John,B-PER
mismo,O
si,O
Bill,O
.,O

Sino,O
ang,O
batang,O
pumunta,O
sa,O
tindahan,O
?,O

Umuulan,O
ba,O
?,O

Oo,O
.,O

Hindi,O
.,O

Mayroon,O
bang,O
pagkain,O
?,O

Mayroon,O
.,O

Wala,O
.,O

Umuulan,O
",",O
ano,O
?,O

Napakaano,O
nila,O
?,O

Napakataas,O
nila,O
.,O

Nagano,O
ka,O
?,O

Nagsalita,O
ka,O
.,O

Naano,O
ka,O
?,O

Natalisod,O
ka,O
.,O

Ipinansulat,O
ni,O
John,B-PER
ng,O
liham,O
kay,O
Mary,B-PER
ang,O
makinilya,O
.,O

Nasaan,O
ang,O
mga,B-MWE
pinggan,I
?,O

Itinanong,O
ko,O
kung,O
nasaan,O
sila,O
.,O

Darating,O
daw,O
si,O
Pedro,B-PER
bukas,O
.,O

Hindi,O
daw,O
darating,O
si,O
Pedro,B-PER
bukas,O
.,O

Bakit,O
daw,O
hindi,O
darating,O
si,O
Pedro,B-PER
bukas,O
?,O

Nagtatrabaho,O
ka,O
na,O
ba,O
daw,O
roon,O
?,O

Nagtatrabaho,O
ka,O
na,O
daw,O
ba,O
roon,O
?,O

Hindi,B-MWE
pa,I
man,I
lamang,I
tuloy,O
siya,O
nakakapagalmusal,O
.,O

Mayroong,O
libro,O
sa,O
mesa,O
.,O

Walang,O
libro,O
sa,O
mesa,O
.,O

Mayroong,O
libro,O
ang,O
bata,O
.,O

Walang,O
libro,O
ang,O
bata,O
.,O

Mabuti,O
ba,O
ang,O
ani,O
?,O

Mabuti,O
kaya,O
ang,O
ani,O
?,O

Mabuti,O
sana,O
ang,O
ani,O
.,O

Huwag,O
kayong,O
umalis,O
.,O

Huwag,O
siyang,O
pumarito,O
.,O

Magaalis,O
ang,O
babae,O
ng,O
bigas,O
sa,O
sako,O
para,O
sa,O
bata,O
.,O

Aalisin,O
ng,O
babae,O
ang,O
bigas,O
sa,O
sako,O
para,O
sa,O
bata,O
.,O

Aalisan,O
ng,O
babae,O
ng,O
bigas,O
ang,O
sako,O
para,O
sa,O
bata,O
.,O

Ipagaalis,O
ng,O
babae,O
ng,O
bigas,O
sa,O
sako,O
ang,O
bata,O
.,O

Matalino,O
ang,O
lalaking,O
bumasa,O
ng,O
diyaryo,O
.,O

Interesante,O
ang,O
diyaryong,O
binasa,O
ng,O
lalaki,O
.,O

Susulat,O
lahat,O
ang,O
mga,B-MWE
bata,I
ng,O
mga,B-MWE
liham,I
.,O

Susulatin,O
lahat,O
ng,O
mga,B-MWE
bata,I
ang,O
mga,B-MWE
liham,I
.,O

Nagalala,O
ang,O
lolo,O
sa,O
kaniyang,O
sarili,O
.,O

Inalala,O
ng,O
lolo,O
ang,O
kaniyang,O
sarili,O
.,O

Iniabot,O
niya,O
sa,O
bata,O
ang,O
kaniyang,O
sariling,O
larawan,O
.,O

Tumanggap,O
ang,O
Rosa,B-PER
ng,O
sulat,O
para,O
sa,O
bata,O
sa,O
kaniyang,O
sarili,O
.,O

Magbigay,O
ka,O
sa,B-MWE
kaniya,I
ng,O
kape,O
.,O

Bigyan,O
mo,O
siya,O
ng,O
kape,O
.,O

Walisan,O
natin,O
ang,O
sahig,O
.,O

Walisan,O
nila,O
ang,O
sahig,O
.,O

Nagatubili,O
siyang,O
humiram,O
ng,O
pera,O
sa,O
banko,O
.,O

Nagatubili,O
siyang,O
hiramin,O
ang,O
pera,O
sa,O
banko,O
.,O

Gusto,O
ni,O
Juan,B-PER
suriin,O
siya,O
ng,O
doktor,O
.,O

Masagwa,O
ang,O
tumatanda,O
.,O

Gusto,O
niyang,O
gumanda,O
.,O

Gusto,O
kong,O
tumanggap,O
ng,O
gantimpala,O
.,O

Gusto,O
kong,O
matanggap,O
ang,O
gantimpala,O
.,O

Ayaw,O
kong,O
mamatay,O
sa,O
Maynila,B-LOC
.,O

Binisita,O
ni,O
Juan,B-PER
ang,O
hari,O
nang,O
nagiisa,O
.,O

Bumisita,O
si,O
Juan,B-PER
sa,O
hari,O
nang,O
nagiisa,O
.,O

Hinuli,O
ng,O
polis,O
ang,O
magnanakaw,O
nang,O
pumapasok,O
sa,O
banko,O
.,O

Nanghuli,O
ng,O
magnanakaw,O
ang,O
polis,O
nang,O
pumapasok,O
sa,O
banko,O
.,O

